 "event" , "date" ,
 "__bnode402073" , "ca. 1651-1652" ,
 "__bnode611821" , "1943-?-?" ,
 "__bnode818053" , "tussen 1604-1615" ,
 "__bnode1300323" , "na 16-4-1595" ,
 "__bnode1356492" , "0-?-?" ,
 "__bnode1378872" , "ca. 1453-1463" ,
 "__bnode1417812" , "1944-omstreeks 11 februari" ,
 "__bnode1455150" , "voor 12-8-1622" ,
 "__bnode1462431" , "1712-1715" ,
 "__bnode1717872" , "1565-1570" ,
 "__bnode1723663" , "ca. 1607-1608" ,
 "__bnode1866931" , "0-?-?" ,
 "__bnode1874076" , "ca. 1650 - 1655" ,
 "__bnode5405" , "voor 7-4-1485" ,
 "__bnode378334" , "ca. 1500 - 1505" ,
 "__bnode333413" , "na 10-6-1620" ,
 "__bnode601587" , "1630-1632" ,
 "__bnode965266" , "1975-?-?" ,
 "__bnode696602" , "0-?-?" ,
